ウテロン錠５ｍｇ,2590004F1010
塩酸ベニジピン錠８「ＭＥＥＫ」　８ｍｇ,2171021F3167
ベニジピン塩酸塩錠８ｍｇ「ＭＥＥＫ」,2171021F3272
アムロジピン錠２．５ｍｇ「ＢＭＤ」,2171022F1398
アムロジピン錠５ｍｇ「ＢＭＤ」,2171022F2017
タンドスピロンクエン酸塩錠２０ｍｇ「アメル」,1129008F3040
シンバスタチン錠１０ｍｇ「アメル」,2189011F2013
シンバスタチン錠２０ｍｇ「アメル」,2189011F3079
ゾテピン錠１００ｍｇ「アメル」,1179024F3067
ゾテピン細粒５０％「アメル」,1179024C2064
アムロジピンＯＤ錠２．５ｍｇ「アメル」,2171022F3145
アムロジピンＯＤ錠５ｍｇ「アメル」,2171022F4141
リスペリドンＯＤ錠１ｍｇ「アメル」,1179038F5045
リスペリドンＯＤ錠２ｍｇ「アメル」,1179038F6017
サルポグレラート塩酸塩錠５０ｍｇ「アメル」,3399006F1158
サルポグレラート塩酸塩錠１００ｍｇ「アメル」,3399006F2154
レバミピド錠１００ｍｇ「アメル」,2329021F1188
レバミピド顆粒２０％「アメル」,2329021D1063
ジクロフェナクＮａテープ１５ｍｇ「日医工」　７ｃｍ×１０ｃｍ,2649734S1112
ジクロフェナクＮａテープ３０ｍｇ「日医工」　１０ｃｍ×１４ｃｍ,2649734S2119
メロペネム点滴静注用０．２５ｇ「ケミファ」　２５０ｍｇ,6139400D1076
メロペネム点滴静注用０．５ｇ「ケミファ」　５００ｍｇ,6139400D2072
レバミピド錠１００ｍｇ「ケミファ」,2329021F1196
ニカルジピン塩酸塩注射液２５ｍｇ「ＦＹ」　２５ｍＬ,2149400A4034
アルベカシン硫酸塩注射液２００ｍｇ「ケミファ」　４ｍＬ,6119400A4017
シムビコートタービュヘイラー３０吸入,2290801G1029
シムビコートタービュヘイラー６０吸入,2290801G2025
ジャヌビア錠２５ｍｇ,3969010F1034
ジャヌビア錠５０ｍｇ,3969010F2030
ジャヌビア錠１００ｍｇ,3969010F3037
アムロジピンＯＤ錠２．５ｍｇ「ＮＰ」,2171022F3072
アムロジピンＯＤ錠５ｍｇ「ＮＰ」,2171022F4079
サルポグレラート塩酸塩錠５０ｍｇ「ＮＰ」,3399006F1093
サルポグレラート塩酸塩錠１００ｍｇ「ＮＰ」,3399006F2090
ジソピラミドカプセル５０ｍｇ「ＮＰ」,2129002M1108
セフメタゾールナトリウム点滴静注バッグ２ｇＮＰ　生食１００ｍＬ付,6132408G4026
ツロブテロールテープ０．５ｍｇ「ＮＰ」,2259707S1152
ツロブテロールテープ１ｍｇ「ＮＰ」,2259707S2159
ツロブテロールテープ２ｍｇ「ＮＰ」,2259707S3155
トスフロキサシントシル酸塩錠７５ｍｇ「ＮＰ」,6241010F1047
トスフロキサシントシル酸塩錠１５０ｍｇ「ＮＰ」,6241010F2043
メロペネム点滴静注用０．２５ｇ「ＮＰ」　２５０ｍｇ,6139400D1068
メロペネム点滴静注用０．５ｇ「ＮＰ」　５００ｍｇ,6139400D2064
メロペネム点滴静注バッグ０．５ｇＮＰ　５００ｍｇ生食１００ｍＬ付,6139400G1048
アムロジピンＯＤ錠２．５ｍｇ「ＴＹＫ」,2171022F3293
アムロジピンＯＤ錠５ｍｇ「ＴＹＫ」,2171022F4290
レバミピド錠１００ｍｇ「ＴＹＫ」,2329021F1170
レバミピド顆粒２０％「ＴＹＫ」,2329021D1047
サルポグレラート塩酸塩錠５０ｍｇ「ＴＹＫ」,3399006F1131
サルポグレラート塩酸塩錠１００ｍｇ「ＴＹＫ」,3399006F2138
ベグリラートＯＤ錠０．２ｍｇ,3969004F3120
ベグリラートＯＤ錠０．３ｍｇ,3969004F4127
トスフロキサシントシル酸塩錠７５ｍｇ「ＴＹＫ」,6241010F1063
トスフロキサシントシル酸塩錠１５０ｍｇ「ＴＹＫ」,6241010F2060
アセトアミノフェン坐剤小児用５０ｍｇ「ＴＹＫ」,1141700J1053
ドンペリドン錠５ｍｇ「ＴＹＫ」,2399005F1086
ベニジピン塩酸塩錠８ｍｇ「ＴＹＫ」,2171021F3019
ミリプラ動注用７０ｍｇ,4291416D1022
ミリプラ用懸濁用液４ｍＬ,7990401A1040
エリザスカプセル外用４００μｇ,1329712A1028
アドシルカ錠２０ｍｇ,2190030F1029
ロゼウス静注液１０ｍｇ　１ｍＬ,4240407A1036
ロゼウス静注液４０ｍｇ　４ｍＬ,4240407A2032
アムロジピンＯＤ錠２．５ｍｇ「杏林」,2171022F3331
アムロジピンＯＤ錠５ｍｇ「杏林」,2171022F4338
サルポグレラート塩酸塩錠５０ｍｇ「杏林」,3399006F1280
サルポグレラート塩酸塩錠１００ｍｇ「杏林」,3399006F2286
リポバトール錠１０　１０ｍｇ,2189011F2013
シンバスタチン錠１０ｍｇ「杏林」,2189011F2013
ガドジアミド静注３２％シリンジ５ｍＬ「ＨＫ」　３２．３％,7290408G4046
ガドジアミド静注３２％シリンジ１０ｍＬ「ＨＫ」　３２．３％,7290408G1047
ガドジアミド静注３２％シリンジ１５ｍＬ「ＨＫ」　３２．３％,7290408G2043
ガドジアミド静注３２％シリンジ２０ｍＬ「ＨＫ」　３２．３％,7290408G3040
アルベカシン硫酸塩注射液２００ｍｇ「ＨＫ」　４ｍＬ,6119400A4033
セロクエル２００ｍｇ錠,1179042F3022
セフカペンピボキシル塩酸塩細粒小児用１０％「ＣＨ」　１００ｍｇ,6132016C1035
セフカペンピボキシル塩酸塩錠７５ｍｇ「ＣＨ」,6132016F1040
セフカペンピボキシル塩酸塩錠１００ｍｇ「ＣＨ」,6132016F2046
トスフロキサシントシル酸塩錠７５ｍｇ「タナベ」,6241010F1110
トスフロキサシントシル酸塩錠１５０ｍｇ「タナベ」,6241010F2116
マニジピン塩酸塩錠５ｍｇ「ＪＧ」,2149027F1152
レバミピド錠１００ｍｇ「タナベ」,2329021F1200
生食注キット「フソー」　５０ｍＬ,3311402P4026
ヘパリンＮａ透析３５０Ｕ／ｍＬシリンジ２０ｍＬ「フソー」　７千Ｕ,3334402P3024
アムロジピンＯＤ錠２．５ｍｇ「フソー」,2171022F3226
アムロジピンＯＤ錠５ｍｇ「フソー」,2171022F4222
トラニラスト点眼液０．５％「ＴＳ」　２５ｍｇ５ｍＬ,1319736Q1092
ジクロフェナクナトリウムテープ１５ｍｇ「ＮＰ」　７ｃｍ×１０ｃｍ,2649734S1147
ジクロフェナクナトリウムテープ３０ｍｇ「ＮＰ」　１０×１４ｃｍ,2649734S2143
アムロジピンＯＤ錠２．５ｍｇ「科研」,2171022F3153
アムロジピンＯＤ錠５ｍｇ「科研」,2171022F4150
プロカテロール塩酸塩錠５０μｇ「日医工」　０．０５ｍｇ,2259004F2214
シメチジン錠４００ｍｇ「日医工」,2325001F2226
アリセプト内服ゼリー３ｍｇ,1190012Q1027
アリセプト内服ゼリー５ｍｇ,1190012Q2023
アリセプト内服ゼリー１０ｍｇ,1190012Q3020
ロシゾピロン錠１００ｍｇ,1179024F3059
ゾテピン錠１００ｍｇ「ヨシトミ」,1179024F3075
ロシゾピロン細粒５０％,1179024C2056
ゾテピン細粒５０％「ヨシトミ」,1179024C2072
レボカバスチン点眼液０．０２５％「イセイ」,1319746Q1088
ヘルベッサー注射用１０　１０ｍｇ,2171405D4050
ヘルベッサー注射用５０　５０ｍｇ,2171405D5057
アカルボース錠５０ｍｇ「サワイ」,3969003F1093
アカルボース錠１００ｍｇ「サワイ」,3969003F2090
アムロジピンＯＤ錠２．５ｍｇ「あすか」,2171022F3137
アムロジピンＯＤ錠２．５ｍｇ「サワイ」,2171022F3170
アムロジピンＯＤ錠２．５ｍｇ「サンド」,2171022F3188
アムロジピンＯＤ錠２．５ｍｇ「ＺＥ」,2171022F3129
アムロジピンＯＤ錠２．５ｍｇ「日医工」,2171022F3218
アムロジピンＯＤ錠５ｍｇ「あすか」,2171022F4133
アムロジピンＯＤ錠５ｍｇ「サワイ」,2171022F4176
アムロジピンＯＤ錠５ｍｇ「サンド」,2171022F4184
アムロジピンＯＤ錠５ｍｇ「ＺＥ」,2171022F4125
アムロジピンＯＤ錠５ｍｇ「日医工」,2171022F4214
エパラ粒状カプセル３００ｍｇ,3399004M2090
エパラ粒状カプセル６００ｍｇ,3399004M3100
エパラ粒状カプセル９００ｍｇ,3399004M4106
エピナスチン錠１０ｍｇ「ＫＴ」,4490014F1130
アルファカルシドールカプセル３μｇ「ＢＭＤ」,3112001M4010
マニジピン塩酸塩錠５ｍｇ「サワイ」,2149027F1160
コートリズム錠５０ｍｇ,3399002F1222
ジルチアゼム塩酸塩錠６０ｍｇ「日医工」,2171006F2140
ニカルジピン塩酸塩錠１０ｍｇ「日医工」,2149019F1123
サルポグレラート塩酸塩錠５０ｍｇ「Ｆ」,3399006F1050
サルポグレラート塩酸塩錠５０ｍｇ「サワイ」,3399006F1182
サルポグレラート塩酸塩錠５０ｍｇ「サンド」,3399006F1190
サルポグレラート塩酸塩錠５０ｍｇ「三和」,3399006F1204
サルポグレラート塩酸塩錠５０ｍｇ「ＴＳＵ」,3399006F1123
サルポグレラート塩酸塩錠５０ｍｇ「ＤＫ」,3399006F1042
サルポグレラート塩酸塩錠５０ｍｇ「日医工」,3399006F1239
サルポグレラート塩酸塩錠１００ｍｇ「Ｆ」,3399006F2057
サルポグレラート塩酸塩錠１００ｍｇ「サワイ」,3399006F2189
サルポグレラート塩酸塩錠１００ｍｇ「サンド」,3399006F2197
サルポグレラート塩酸塩錠１００ｍｇ「三和」,3399006F2200
サルポグレラート塩酸塩錠１００ｍｇ「ＴＳＵ」,3399006F2120
サルポグレラート塩酸塩錠１００ｍｇ「ＤＫ」,3399006F2049
サルポグレラート塩酸塩錠１００ｍｇ「日医工」,3399006F2235
セフカペンピボキシル塩酸塩細粒１０％小児用「日医工」　１００ｍｇ,6132016C1094
セフカペンピボキシル塩酸塩小児用細粒１０％「サワイ」　１００ｍｇ,6132016C1108
セフカペンピボキシル塩酸塩錠７５ｍｇ「日医工」,6132016F1082
セフカペンピボキシル塩酸塩錠１００ｍｇ「日医工」,6132016F2089
タンドスピロンクエン酸塩錠２０ｍｇ「サワイ」,1129008F3058
タンドスピロンクエン酸塩錠２０ｍｇ「日医工」,1129008F3066
トスフロキサシントシル酸塩錠７５ｍｇ「サワイ」,6241010F1080
トスフロキサシントシル酸塩錠７５ｍｇ「日医工」,6241010F1128
トスフロキサシントシル酸塩錠１５０ｍｇ「サワイ」,6241010F2086
トスフロキサシントシル酸塩錠１５０ｍｇ「日医工」,6241010F2124
ニカルジピン塩酸塩錠１０ｍｇ「サワイ」,2149019F1140
ホスホマイシンカルシウムカプセル２５０ｍｇ「日医工」,6135001M1010
フルバスタチン錠１０ｍｇ「サワイ」,2189012F1038
フルバスタチン錠１０ｍｇ「三和」,2189012F1046
フルバスタチン錠２０ｍｇ「サワイ」,2189012F2034
フルバスタチン錠２０ｍｇ「三和」,2189012F2042
フルバスタチン錠３０ｍｇ「サワイ」,2189012F3030
フルバスタチン錠３０ｍｇ「三和」,2189012F3049
シプロフロキサシン錠１００ｍｇ「ＳＷ」,6241008F1147
マーズレン配合錠０．３７５ＥＳ,2329122F3027
マニジピン塩酸塩錠５ｍｇ「日医工」,2149027F1136
ミルナシプラン塩酸塩錠５０ｍｇ「サワイ」,1179040F4038
メサラジン顆粒５０％「ＡＫＰ」,2399009D1024
プロカテロール塩酸塩錠２５μｇ「サワイ」　０．０２５ｍｇ,2259004F1170
メトプロロール酒石酸塩錠２０ｍｇ「サワイ」,2149010F1157
レバミピド顆粒２０％「あすか」,2329021D1055
レバミピド錠１００ｍｇ「ＫＴＢ」,2329021F1129
レバミピド錠１００ｍｇ「ＤＫ」,2329021F1110
レバミピド錠１００ｍｇ「日医工」,2329021F1226
リシノプリル錠５ｍｇ「サワイ」,2144006F1120
リシノプリル錠２０ｍｇ「サワイ」,2144006F3017
リシノプリル錠５ｍｇ「日医工」,2144006F1111
リシノプリル錠２０ｍｇ「日医工」,2144006F3114
エピルビシン塩酸塩注射液１０ｍｇ／５ｍＬ「サワイ」,4235404A1067
エピルビシン塩酸塩注射液１０ｍｇ／５ｍＬ「サンド」,4235404A1075
エピルビシン塩酸塩注射液５０ｍｇ／２５ｍＬ「サワイ」,4235404A2063
エピルビシン塩酸塩注射液５０ｍｇ／２５ｍＬ「サンド」,4235404A2071
セフェピム塩酸塩静注用０．５ｇ「サンド」　５００ｍｇ,6132425D1032
セフェピム塩酸塩静注用１ｇ「サンド」,6132425D2039
セフトリアキソンＮａ静注用０．５ｇ「サワイ」　５００ｍｇ,6132419F1119
バソレーター注１ｍｇ　２ｍＬ,2171403A1048
バソレーター注２５ｍｇ　５０ｍＬ,2171403A3059
プロチレリン酒石酸塩注射液１ｍｇ「サワイ」　１ｍＬ,7223401A2070
メロペネム点滴静注バッグ０．５ｇ日医工　５００ｍｇ生食１００ｍＬ,6139400G1056
メロペネム点滴静注用０．２５ｇ「サワイ」　２５０ｍｇ,6139400D1084
メロペネム点滴静注用０．２５ｇ「タナベ」　２５０ｍｇ,6139400D1092
メロペネム点滴静注用０．５ｇ「サワイ」　５００ｍｇ,6139400D2080
メロペネム点滴静注用０．５ｇ「タナベ」　５００ｍｇ,6139400D2099
イソプロピルウノプロストンＰＦ点眼液０．１２％「日点」,1319732Q1078
カロナール坐剤小児用５０　５０ｍｇ,1141700J1088
ジクロフェナクナトリウムテープ１５ｍｇ「三和」　７ｃｍ×１０ｃｍ,2649734S1155
ジクロフェナクナトリウムテープ３０ｍｇ「三和」　１０×１４ｃｍ,2649734S2151
ゼポラスパップ８０ｍｇ　２０ｃｍ×１４ｃｍ,2649732S5038
タッチロンパップ６０　２０ｃｍ×１４ｃｍ,2649729S4056
ケトプロフェンパップ６０ｍｇ「三和」　２０ｃｍ×１４ｃｍ,2649729S4072
オフロキサシン耳科用液０．３％「ＣＥＯ」　３ｍｇ,1329706Q1012
トラニラスト点眼液０．５％「サワイ」　２５ｍｇ５ｍＬ,1319736Q1106
フロラーズ点鼻液５０μｇ５６噴霧用　４．０８ｍｇ８ｍＬ,1329707Q3168
塩化Ｎａ補正液２．５ｍＥｑ／ｍＬ　２．５モル２０ｍＬ,3319403A2040
ジクロフェナクＮａクリーム１％「日本臓器」,2649734N1046
ジクロフェナクＮａテープ１５ｍｇ「日本臓器」　７ｃｍ×１０ｃｍ,2649734S1120
ジクロフェナクＮａテープ３０ｍｇ「日本臓器」　１０ｃｍ×１４ｃｍ,2649734S2127
塩化アンモニウム補正液５ｍＥｑ／ｍＬ　５モル２０ｍＬ,3319401A1044
シメチジン錠４００ｍｇ「サワイ」,2325001F2242
ラスリテック点滴静注用１．５ｍｇ　（溶解液付）,3959415F1025
ラスリテック点滴静注用７．５ｍｇ　（溶解液付）,3959415F2021
アサコール錠４００ｍｇ,2399009F3028
ラニチジン錠７５「ＫＮ」　７５ｍｇ,2325002F2140
アブラキサン点滴静注用１００ｍｇ,4240409D1023
ゲムシタビン点滴静注用２００ｍｇ「タイホウ」,4224403D1057
ゲムシタビン点滴静注用１ｇ「タイホウ」,4224403D2053
アロキシ静注０．７５ｍｇ　５ｍＬ,2391404A1020
グラクティブ錠２５ｍｇ,3969010F1026
グラクティブ錠５０ｍｇ,3969010F2022
グラクティブ錠１００ｍｇ,3969010F3029
イメンドカプセル８０ｍｇ,2391008M1021
イメンドカプセル１２５ｍｇ,2391008M2028
イメンドカプセルセット,2391008M3024
プレタールＯＤ錠５０ｍｇ,3399002F3020
プレタールＯＤ錠１００ｍｇ,3399002F4027
ディスコビスク１．０眼粘弾剤　１ｍＬ,1319818Q1025
オゼックス細粒小児用１５％　１５０ｍｇ,6241010C1024
ベネフィクス静注用５００　５００国際単位（溶解液付）,6343438D1026
ベネフィクス静注用１０００　１，０００国際単位（溶解液付）,6343438D2022
ベネフィクス静注用２０００　２，０００国際単位（溶解液付）,6343438D3029
バンコマイシン眼軟膏１％,6113700M1023
キロサイドＮ注１ｇ,4224401A7025
ラピアクタ点滴静注液バッグ３００ｍｇ　６０ｍＬ,6250405A2039
ラピアクタ点滴静注液バイアル１５０ｍｇ　１５ｍＬ,6250405A1032
エポエチンアルファＢＳ７５０シリンジＪＣＲ　７５０ＩＵ０．５ｍＬ,3999427G1029
エポエチンアルファＢＳ１５００シリンジＪＣＲ　１５００ＩＵ１ｍＬ,3999427G2025
エポエチンアルファＢＳ３０００シリンジＪＣＲ　３０００ＩＵ２ｍＬ,3999427G3021
エポエチンアルファＢＳ注７５０「ＪＣＲ」　７５０ＩＵ０．５ｍＬ,3999427A1026
ラタノプロスト点眼液０．００５％「キッセイ」,1319739Q1126
アムロジピンＯＤ錠２．５ｍｇ「ＥＭＥＣ」,2171022F3250
アムロジピンＯＤ錠５ｍｇ「ＥＭＥＣ」,2171022F4257
ノボラピッド５０ミックス注　フレックスペン　３００単位,2492415G4022
ノボラピッド７０ミックス注　フレックスペン　３００単位,2492415G5029
ゲムシタビン点滴静注用２００ｍｇ「ヤクルト」,4224403D1065
ゲムシタビン点滴静注用１ｇ「ヤクルト」,4224403D2061
コルヒチン錠０．５ｍｇ「タカタ」,3941001F1077
カルボシステインＤＳ５０％「タカタ」,2233002R2037
ラタノプロスト点眼液０．００５％「タカタ」,1319739Q1185
レバミピド錠１００ｍｇ「タカタ」,2329021F1285
サルポグレラート塩酸塩錠５０ｍｇ「タカタ」,3399006F1263
サルポグレラート塩酸塩錠１００ｍｇ「タカタ」,3399006F2260
ザラカム配合点眼液,1319817Q1020
ラタノプロスト点眼液０．００５％「わかもと」,1319739Q1240
アテノロール錠２５ｍｇ「ファイザー」,2123011F1015
レザルタス配合錠ＬＤ,2149115F1026
レザルタス配合錠ＨＤ,2149115F2022
メトグルコ錠２５０ｍｇ,3962002F2027
ビクトーザ皮下注１８ｍｇ　３ｍＬ,2499410G1021
ラジカット点滴静注バッグ３０ｍｇ　１００ｍＬ,1190401G1026
ラタノプロスト点眼液０．００５％「ＮＳ」,1319739Q1061
フェルビナクパップ１４０ｍｇ「ラクール」　２０ｃｍ×１４ｃｍ,2649731S3057
フェルビナクパップ１４０ｍｇ「東光」　２０ｃｍ×１４ｃｍ,2649731S3065
エナラプリルマレイン酸塩錠２．５ｍｇ「ＭＥＥＫ」,2144002F1385
エナラプリル錠２．５ＭＥＥＫ　２．５ｍｇ,2144002F1199
リスペリドン内用液１ｍｇ／ｍＬ「ＭＥＥＫ」　０．１％,1179038S1080
エポプロステノール静注用０．５ｍｇ「テバ」,2190413F2067
エポプロステノール静注用０．５ｍｇ「テバ」　（溶解液付）,2190413F1060
エポプロステノール静注用１．５ｍｇ「テバ」,2190413F3063
エポプロステノール静注用１．５ｍｇ「テバ」　（溶解液付）,2190413F4060
エポプロステノール静注用「テバ」専用溶解用液　５０ｍＬ,2190415A1054
オキシブチニン塩酸塩錠１ｍｇ「タイヨー」,2590005F3092
アルファカルシドールカプセル３μｇ「タイヨー」,3112001M4010
アルファカルシドール３μｇカプセル,3112001M4010
アルファカルシドールカプセル３μｇ「日医工」,3112001M4010
シプロフロキサシン塩酸塩２００ｍｇ錠,6241008F2011
セチリジン塩酸塩１０ｍｇ錠,4490020F2019
セリプロロール塩酸塩錠１００ｍｇ「ＪＧ」,2149029F1089
ピコスルファートナトリウム内用液０．７５％「ＣＨＯＳ」,2359005S1259
アレンドロン酸錠５ｍｇ「ファイザー」,3999018F1170
エナラプリルマレイン酸塩錠１０ｍｇ「ファイザー」,2144002F3256
カルタンＯＤ錠２５０ｍｇ,2190024F3026
カルタンＯＤ錠５００ｍｇ,2190024F4022
オメプラゾール腸溶錠１０ｍｇ「マイラン」,2329022H2171
グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「マイラン」,2391400G1148
ラタノプロスト点眼液０．００５％「サンド」,1319739Q1304
サインバルタカプセル２０ｍｇ,1179052M1022
サインバルタカプセル３０ｍｇ,1179052M2029
アミオダロン塩酸塩錠１００ｍｇ「トーワ」,2129010F1057
シラザプリル錠０．２５ｍｇ「トーワ」,2144005F1052
一硝酸イソソルビド錠１０ｍｇ「トーワ」,2171023F1090
カルボシステインＤＳ３３．３％「トーワ」,2233002R1065
タムスロシン塩酸塩ＯＤ錠０．１ｍｇ「トーワ」,2590008F1166
タムスロシン塩酸塩ＯＤ錠０．２ｍｇ「トーワ」,2590008F2162
アルファカルシドールカプセル３μｇ「トーワ」,3112001M4010
ビカルタミド錠８０ｍｇ「トーワ」,4291009F1217
ラスプジン錠０．５ｍｇ,4490004F1056
アゼラスチン塩酸塩錠０．５ｍｇ「トーワ」,4490004F1129
エピナスチン塩酸塩ＤＳ小児用１％「トーワ」,4490014R1080
ラタノプロスト点眼液０．００５％「トーワ」,1319739Q1193
ケトプロフェンテープ４０ｍｇ「トーワ」　１０ｃｍ×１４ｃｍ,2649729S3190
エナラート錠１０ｍｇ,2144002F3140
アルプラゾラム錠０．８ｍｇ「アメル」,1124023F2084
スルトプリド塩酸塩錠５０ｍｇ「アメル」,1179032F1050
チミペロン錠０．５ｍｇ「アメル」,1179026F1047
ドンペリドン錠５ｍｇ「アメル」,2399005F1230
ミルナシプラン塩酸塩錠１２．５ｍｇ「アメル」,1179040F3031
ミルナシプラン塩酸塩錠５０ｍｇ「アメル」,1179040F4062
ラタノプロスト点眼液０．００５％「ＳＥＣ」,1319739Q1312
ロナセン錠８ｍｇ,1179048F3020
エクア錠５０ｍｇ,3969011F1020
エックスフォージ配合錠,2149114F1021
アフィニトール錠５ｍｇ,4291023F1020
スルトプリド塩酸塩錠５０ｍｇ「ヨシトミ」,1179032F1069
アドエア１２５エアゾール１２０吸入用　１２．０ｇ,2290800G8029
アドエア２５０エアゾール１２０吸入用　１２．０ｇ,2290800G9025
プラバスタチンナトリウム塩錠５ｍｇ「ファイザー」,2189010F1446
エトドラク錠１００ｍｇ「オーハラ」,1149032F1124
レバミピド錠１００ｍｇ「ＹＤ」,2329021F1277
アズレンスルホン酸ナトリウム・Ｌ－グルタミン配合顆粒「クニヒロ」,2329122D1465
ファルジーテープ３５ｍｇ　７ｃｍ×１０ｃｍ,2649731S2050
ブリディオン静注２００ｍｇ　２ｍＬ,3929409A1023
ブリディオン静注５００ｍｇ　５ｍＬ,3929409A2020
テモダール点滴静注用１００ｍｇ,4219404D1027
ヤーズ配合錠,248210BF1020
ラタノプロスト点眼液０．００５％「ＴＳ」,1319739Q1088
ミルナシプラン塩酸塩錠５０ｍｇ「ＡＦＰ」,1179040F4046
エピナスチン塩酸塩錠１０ｍｇ「ケミファ」,4490014F1211
アマリール０．５ｍｇ錠,3961008F3023
アムロジピン内用ゼリー２．５ｍｇ「ＴＹＫ」,2171022Q1070
アムロジピン内用ゼリー５ｍｇ「ＴＹＫ」,2171022Q2077
アズレンうがい液４％「ＴＹＫ」,2260700F1129
オメプラゾール錠１０ｍｇ「ＴＹＫ」,2329022H2147
ドキソルビシン塩酸塩注射用１０ｍｇ「ＮＫ」,4235402D1048
ドキソルビシン塩酸塩注射用５０ｍｇ「ＮＫ」,4235402D2028
ラタノプロスト点眼液０．００５％「イセイ」,1319739Q1100
ラタノプロスト点眼液０．００５％「ＴＹＫ」,1319739Q1282
トヨファロールカプセル３．０　３μｇ,3112001M4010
リリカカプセル２５ｍｇ,1190017M1028
リリカカプセル７５ｍｇ,1190017M2024
リリカカプセル１５０ｍｇ,1190017M3020
サレドカプセル５０　５０ｍｇ,4291019M2020
アドベイト静注用２０００　２，０００単位（溶解液付）,6343432D7035
スピリーバ２．５μｇレスピマット６０吸入　１５０μｇ,2259709G2023
ソリリス点滴静注３００ｍｇ　３０ｍＬ,6399424A1023
カイトリル点滴静注バッグ３ｍｇ／５０ｍＬ,2391400G4023
ラタノプロスト点眼液０．００５％「科研」,1319739Q1118
ラタノプロスト点眼液０．００５％「センジュ」,1319739Q1177
ケタラール静注用５０ｍｇ　５ｍＬ,1119400A3026
コソプト配合点眼液,1319819Q1020
ラタノプロスト点眼液０．００５％「杏林」,1319739Q1290
デュオトラバ配合点眼液,1319820Q1022
ベニジピン塩酸塩錠２ｍｇ「杏林」,2171021F1237
ベニジピン塩酸塩錠８ｍｇ「杏林」,2171021F3221
ネリザ軟膏,2559814M1042
ネリザ坐剤,2559814J1062
アムロジピンＯＤ錠２．５ｍｇ「ＫＮ」,2171022F3269
アムロジピンＯＤ錠５ｍｇ「ＫＮ」,2171022F4265
ジクアス点眼液３％　５ｍＬ,1319758Q1021
ロゼレム錠８ｍｇ,1190016F1024
ベクティビックス点滴静注１００ｍｇ　５ｍＬ,4291417A1020
ネシーナ錠６．２５ｍｇ,3969012F1025
ネシーナ錠１２．５ｍｇ,3969012F2021
ネシーナ錠２５ｍｇ,3969012F3028
メタクト配合錠ＬＤ,3969100F1020
メタクト配合錠ＨＤ,3969100F2027
ユニシア配合錠ＬＤ,2149116F1020
ユニシア配合錠ＨＤ,2149116F2027
レバミピド顆粒２０％「日医工」,2329021D1080
ミルナシプラン塩酸塩錠１２．５ｍｇ「日医工」,1179040F3058
ミルナシプラン塩酸塩錠５０ｍｇ「日医工」,1179040F4070
アラセプリル錠５０ｍｇ「日医工」,2144003F3080
ラタノプロスト点眼液０．００５％「日医工」,1319739Q1207
ブロチゾラム錠０．１２５ｍｇ「ＮＰ」,1124009F3030
セフトリアキソンナトリウム静注用０．５ｇ「ＮＰ」　５００ｍｇ,6132419F1097
セフトリアキソンナトリウム静注用１ｇ「ＮＰ」,6132419F2123
セフメタゾールＮａ静注用０．５ｇ「ＮＰ」　５００ｍｇ,6132408F2036
セフォチアム塩酸塩静注用０．２５ｇ「ＮＰ」　２５０ｍｇ,6132400F1130
フェントステープ１ｍｇ,8219701S1025
フェントステープ２ｍｇ,8219701S2021
フェントステープ４ｍｇ,8219701S3028
フェントステープ６ｍｇ,8219701S4024
フェントステープ８ｍｇ,8219701S5020
ラタノプロスト点眼液０．００５％「三和」,1319739Q1169
レバミピド錠１００ｍｇ「ＪＧ」,2329021F1250
ミニヘパ透析用１００単位／ｍＬシリンジ２０ｍＬ　２千低ヘパ単位,3334404G4020
ミニヘパ透析用１５０単位／ｍＬシリンジ２０ｍＬ　３千低ヘパ単位,3334404G5026
ミニヘパ透析用２００単位／ｍＬシリンジ２０ｍＬ　４千低ヘパ単位,3334404G6022
ロペラミド塩酸塩細粒０．１％「フソー」,2319001C2109
アゼラスチン塩酸塩錠０．５ｍｇ「日医工」,4490004F1099
セフォチアム塩酸塩静注用０．２５ｇ「日医工」　２５０ｍｇ,6132400F1122
セフォチアム塩酸塩静注用０．５ｇ「日医工」　５００ｍｇ,6132400F2161
ムコダインＤＳ５０％,2233002R2029
ラタノプロスト点眼液０．００５％「ケミファ」,1319739Q1134
アルファカルシドールカプセル３．０μｇ「フソー」　３μｇ,3112001M4010
ラタノプロスト点眼液０．００５％「ニットー」,1319739Q1223
ラタノプロスト点眼液０．００５％「ＴＯＡ」,1319739Q1070
コージネイトＦＳバイオセット注２０００　２０００国際単位溶解液付,6343430G4025
アミオダロン塩酸塩速崩錠５０ｍｇ「ＴＥ」,2129010F3025
アミオダロン塩酸塩速崩錠１００ｍｇ「ＴＥ」,2129010F1065
アクトスＯＤ錠１５　１５ｍｇ,3969007F3027
アクトスＯＤ錠３０　３０ｍｇ,3969007F4023
アムロジン錠１０ｍｇ,2171022F5024
アムロジンＯＤ錠１０ｍｇ,2171022F6020
一硝酸イソソルビド錠１０ｍｇ「サワイ」,2171023F1082
シラザプリル錠０．２５ｍｇ「サワイ」,2144005F1060
エピナスチン塩酸塩ＤＳ小児用１％「サワイ」,4490014R1072
カルボシステイン錠５００ｍｇ「サワイ」,2233002F2103
ジルチアゼム塩酸塩錠６０ｍｇ「サワイ」,2171006F2107
セチリジン塩酸塩ＯＤ錠５ｍｇ「サワイ」,4490020F3023
